date,pnl
2021-02-28,-4736.529999999999
2021-04-16,-279.3899999999994
2021-04-30,-4543.050000000003
2021-06-02,-21275.0
2021-06-30,2801.220000000001
2021-08-02,937.4000000000015
2021-08-12,1518.1200000000026
2021-09-12,-880.989999999998
2021-09-28,-1213.1700000000055
2021-10-18,7363.470000000001
2021-10-21,-360.25999999999476
2021-10-24,-2232.3899999999994
2021-11-22,-1396.2300000000032
2021-11-26,1140.010000000002
2021-11-29,3585.970000000001
2021-12-12,-3082.0999999999985
2022-01-10,-51.5
2022-01-15,700.0
2022-02-02,2020.699999999997
2022-02-06,742.3099999999977
2022-02-13,-2039.0
2022-03-14,697.1900000000023
2022-03-20,817.4400000000023
2022-04-24,-40.0
2022-05-22,-8986.73
2022-06-03,10.0
2022-06-27,-5355.990000000002
2022-08-07,1422.0
2022-10-08,-4829.119999999999
2022-10-31,95.91999999999825
2022-11-18,-3689.0
2023-02-13,3894.9900000000016
2023-02-27,1578.9099999999999
2023-03-24,7687.790000000001
2023-06-10,-276.130000000001
2023-06-12,-100.40000000000146
2023-06-18,182.0
2023-06-30,482.0
2023-07-03,718.4000000000015
2023-07-08,-62.18999999999869
2023-07-16,50.55999999999767
2023-08-27,-650.369999999999
2023-09-04,-1660.5499999999993
2023-09-17,218.02999999999884
2023-09-23,-526.7899999999972
2023-10-08,418.619999999999
2023-10-13,182.95999999999913
2023-11-05,6766.3499999999985
2023-11-13,-108.01000000000204
2023-11-19,-429.5400000000009
2023-11-24,760.5599999999977
2023-12-17,-2063.9300000000003
2023-12-23,-253.66999999999825
2024-01-08,1748.989999999998
2024-01-21,-6090.610000000001
2024-02-11,422.6600000000035
2024-02-19,2120.159999999996
2024-02-24,-668.8000000000029
2024-03-25,7150.0
2024-04-22,365.27999999999884
2024-05-05,5021.0
2024-05-25,360.0
2024-06-16,520.2200000000012
2024-06-28,-262.5
2024-07-14,3874.6900000000023
2024-07-21,2977.6900000000023
2024-08-15,-2348.840000000004
2024-09-09,3238.0
2024-09-15,-229.1999999999971
2024-09-22,150.0
2024-10-06,1497.8099999999977
2024-10-21,1095.520000000004
2024-10-27,859.2200000000012
2024-11-29,25658.990000000005
2024-12-09,-683.0600000000122
2024-12-13,7.259999999994761
2024-12-23,-3001.6900000000023
2025-01-27,-1728.8800000000047
2025-01-30,2657.4400000000023
